,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Method,Data Type,Region
0,Optimal Distribution System Operation for Enhancing Resilience Against Wildfires,D. N. Trakas; N. D. Hatziargyriou,"Department of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Department of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece",IEEE Transactions on Power Systems,16-Feb-18,2018,33,2.0,2260,2271,"Natural disasters can cause significant damage to power grids. During summer, in countries with high temperatures, distribution systems passing through forested areas are prone to wildfires. This paper proposes a stochastic programming approach for increasing resiliency of a distribution system exposed to an approaching wildfire. Dynamic line rating of the overhead lines is considered in order to model the impact of the wildfire on conductor temperature and flowing current. The uncertainties associated with solar radiation, wind speed, and wind direction that affect the progression of the wildfire and the production of stochastic distributed generators are taken into account. A scenario reduction algorithm is applied to reduce the number of scenarios in a tractable size and subsequently the computational burden. The proposed model is transformed to a mixed-integer problem with quadratic constraints, which provides effective solution to the operation of a distribution system against an approaching wildfire. A modified IEEE 33-bus distribution system is used to illustrate the applicability of the proposed approach.",1558-0679,,10.1109/TPWRS.2017.2733224,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7995099,Distribution system resilience;dynamic thermal rating;stochastic programming;wildfire,Fires;Conductors;Heating systems;Resilience;Energy storage;Power grids;Stochastic processes,,152.0,,38.0,IEEE,28-Jul-17,,,IEEE,IEEE Journals,[],['weather data'],[]
1,Multi-UAV Oxyrrhis Marina-Inspired Search and Dynamic Formation Control for Forest Firefighting,K. Harikumar; J. Senthilnath; S. Sundaram,"ST Engineering-NTU Corporate Laboratory, School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; ST Engineering-NTU Corporate Laboratory, School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; ST Engineering-NTU Corporate Laboratory, School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Automation Science and Engineering,04-Apr-19,2019,16,2.0,863,873,"This paper presents an Oxyrrhis Marina-inspired search and dynamic formation control (OMS-DFC) framework for multi-unmanned aerial vehicle (UAV) systems to efficiently search and neutralize a dynamic target (forest fire) in an unknown/uncertain environment. The OMS-DFC framework consists of two stages, viz., the target identification stage without communication between UAVs and the mitigation stage with restricted communication. In the first stage, each UAV adapts proposed OMS with three levels to select between Levy flight, Brownian search, and directionally driven Brownian (DDB) search for accurate target identification (“fire location”). The selection of each level is based on the available sensor information about the possible fire location. In the second stage, the UAVs that identified a fire location fly in a dynamic formation to quench the fire using water. The proposed formation is achieved through decentralized control, where a UAV computes the control action based on the fire profile and also the angular position and angular separation with its succeeding neighbor. The proposed formation control law guarantees asymptotic convergence to the desired time-varying angular position profile of UAVs based on the nature of fire spread (circular/elliptical). To evaluate the performance of the proposed OMS-DFC for the multi-UAV system, a search and fire quenching mission in a typical pine forest is simulated. A Monte Carlo simulation study is conducted to evaluate the average performance of the proposed OMS-DFC-based multi-UAV mission, and the results clearly highlight the advantages of the proposed OMS-DFC in forest firefighting. Note to Practitioners—Searching and mitigating dynamic targets like the forest fire is a challenging task due to the large area involved and also the time-varying nature of fire spread. The use of a cooperative multi-unmanned aerial vehicle (UAV) system for searching targets in large area poses difficulties in maintaining persistent long distance communication between them. Moreover, the elliptical fire profile demands a time-varying angular displacement formation control of UAVs for effective fire mitigation. In this paper, we present a two-stage framework for search and mitigation of forest fire. The first stage provides a decentralized, noniterative stochastic search algorithm that requires no information sharing between the UAVs. The proposed search algorithm can be implemented without much computational efforts using a temperature measuring sensor and a thermal imaging sensor. The second stage provides a decentralized time-varying angular displacement formation control law efficient for tracking elliptical targets. The formation control law only assumes the availability of restricted UAV communication. The proposed formation control law can handle any targets that demand time-varying angular displacement formation for UAVs. The proposed algorithm is suitable for multi-UAV missions involving search and mitigation of dynamic targets distributed over a large area.",1558-3783,,10.1109/TASE.2018.2867614,ST-Engineering NTU Corporate Laboratory(grant numbers:CRP3-P2P);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8474373,Decentralized search;forest firefighting;formation control;multi-unmanned aerial vehicle (UAV) system;Oxyrrhis Marina-inspired search (OMS),Forestry;Heuristic algorithms;Temperature measurement;Vehicle dynamics;Target tracking;Task analysis;Fuels,,122.0,,39.0,IEEE,27-Sep-18,,,IEEE,IEEE Journals,['simulation'],"['weather data', 'fire data']",[]
3,A Multi-State Model for Transmission System Resilience Enhancement Against Short-Circuit Faults Caused by Extreme Weather Events,C. Guo; C. Ye; Y. Ding; P. Wang,"College of Electrical Engineering, Zhejiang University, Hangzhou, China; College of Electrical Engineering, Zhejiang University, Hangzhou, China; College of Electrical Engineering, Zhejiang University, Hangzhou, China; Electrical and Electronic Engineering School, School of Nanyang Technological University, Singapore, Singapore",IEEE Transactions on Power Delivery,26-Jul-21,2021,36,4.0,2374,2385,"Due to global climate change, the effect of extreme weather on power systems has attracted extensive attention. In the prior-art grid resilience studies, the hurricanes or wildfires are mainly defended in terms of expected line damages, while they are prone to trigger short-circuit fault (SCF) evolved with dynamic influence in reality. In this paper, a fragile model is developed to evaluate the nodal SCF probability considering the insulation aging of equipment and extreme weather condition. Then, a response framework for extreme weather events is developed for a transmission system to defend the cascading impacts of expected SCFs. Specifically, switches are shifted to restrain the out-of-range short-circuit currents (SCCs) so that to ensure the SCFs can be removed by circuit breakers, generation rescheduling and load shedding are arranged to maintain the post-fault system transient stability. The above measures are optimized simultaneously by an integrated Mixed-Integer Nonlinear Programming (MINLP). Considering the error or uncertainty of weather event forecasts, a multi-state model is established to provide the most cost-effective grid resilience enhancement scheme, in which the expected urgent adaptions of the initial scheme subject to weather state transition is included in the overall cost. The proposed model and techniques are validated using the IEEE 39-bus New-England test system and realistic meteorological data.",1937-4208,,10.1109/TPWRD.2020.3043938,China NSFC(grant numbers:51807173);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9290096,Resilience;extreme weather;short-circuit fault;short-circuit current;transient stability;multi-state,Meteorology;Power system stability;Aging;Hurricanes;Circuit faults;Transient analysis;Resilience;Climate change,,99.0,,34.0,IEEE,10-Dec-20,,,IEEE,IEEE Journals,[],['weather data'],['Global']
5,Wildfire Detection From Multisensor Satellite Imagery Using Deep Semantic Segmentation,D. Rashkovetsky; F. Mauracher; M. Langer; M. Schmitt,"Orbital Oracle Technologies GmbH, Munich, Germany; Orbital Oracle Technologies GmbH, Munich, Germany; Orbital Oracle Technologies GmbH, Munich, Germany; Department of Geoinformatics, Munich University of Applied Sciences, Munich, Germany",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,26-Jul-21,2021,14,,7001,7016,"Deriving the extent of areas affected by wildfires is critical to fire management, protection of the population, damage assessment, and better understanding of the consequences of fires. In the past two decades, several algorithms utilizing data from Earth observation satellites have been developed to detect fire-affected areas. However, most of these methods require the establishment of complex functional relationships between numerous remote sensing data parameters. In contrast, more recently, deep learning has found its way into the application, having the advantage of being able to detect patterns in complex data by learning from examples automatically. In this article, a workflow for the detection of fire-affected areas from satellite imagery acquired in the visible, infrared, and microwave domains is described. Using this workflow, the fire detection potentials of four sources of freely available satellite imagery were investigated: the C-SAR instrument on board Sentinel-1, the multispectral instrument on board Sentinel-2, the sea and land surface temperature instrument on board Sentinel-3, and the MODIS instrument on board Terra and Aqua. For each of them, a single-input convolutional neural network based on the well-known U-Net architecture was trained on a newly created dataset. The performance of the resulting four single-instrument models was evaluated in presence of clouds and in clear conditions. In addition, the potential of combining predictions from pairs of single-instrument models was investigated. The results show that fusion of Sentinel-2 and Sentinel-3 data provides the best detection rate in clear conditions, whereas the fusion of Sentinel-1 and Sentinel-2 data shows a significant benefit in cloudy weather.",2151-1535,,10.1109/JSTARS.2021.3093625,Munich University of Applied Sciences and the German Research Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9468971,Data fusion;deep learning;remote sensing;wildfire detection,Instruments;Satellites;Sensors;Remote sensing;Clouds;Earth;Satellite broadcasting,,69.0,,43.0,CCBY,30-Jun-21,,,IEEE,IEEE Journals,"['machine learning', 'wireless sensor networks', 'remote sensing']",['weather data'],[]
7,A Neural Network Model for Wildfire Scale Prediction Using Meteorological Factors,H. Liang; M. Zhang; H. Wang,"School of Technology, Beijing Forestry University, Beijing, China; School of Technology, Beijing Forestry University, Beijing, China; School of Technology, Beijing Forestry University, Beijing, China",IEEE Access,16-Dec-19,2019,7,,176746,176755,"A forest fire is a natural disaster that destroys forest resources, thus having a severe impact on humans and on the animals and plants that depend on the forest environment. This paper presents a model for predicting the scale of forest wildfires of Alberta, Canada. A fire's scale is determined by the combination of the fire's duration and the size of the area it burns. Our prediction model enables fire rescuers to take appropriate measures to minimize damage caused by a wildfire based on its predicted scale in the fire's early stages. The modeling data were collected from the Canada National Fire Database (CNFDB) published by Natural Resources Canada, which includes wildfire and meteorological data for Alberta, Canada. The size of the burned area and the fire's duration were used to estimate the scale of a wildfire. After multi-collinearity testing and feature normalization, the data were divided into training and testing sets. Taking the meteorological factors as input values, a backpropagation neural network (BPNN), a recurrent neural network (RNN), and long short-term memory (LSTM) were implemented to establish prediction models. Of these classification methods, LSTM exhibited the highest accuracy, 90.9%. The results indicate that it is feasible to predict the scale of a forest wildfire at the beginning of its occurrence using meteorological information.",2169-3536,,10.1109/ACCESS.2019.2957837,Fundamental Research Funds for the Central Universities(grant numbers:BLX201717); National Basic Research Program of China (973 Program)(grant numbers:2017YFD0600901);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8924693,Forest wildfire;LSTM model;meteorological factors;prediction of wildfire scale,Fires;Forestry;Predictive models;Data models;Recurrent neural networks;Neurons;Databases,,67.0,,44.0,CCBY,05-Dec-19,,,IEEE,IEEE Journals,"['machine learning', 'wireless sensor networks', 'simulation']","['weather data', 'fire data']",['Canada']
9,Improving Nocturnal Fire Detection With the VIIRS Day–Night Band,T. N. Polivka; J. Wang; L. T. Ellison; E. J. Hyer; C. M. Ichoku,"Department of Earth and Atmospheric Sciences, University of Nebraska—Lincoln, Lincoln, NE, USA; Department of Earth and Atmospheric Sciences, University of Nebraska—Lincoln, Lincoln, NE, USA; Science Systems and Applications, Inc., NASA Goddard Space Flight Center, Greenbelt, MD, USA; Marine Meteorology Division, Naval Research Laboratory, Monterey, CA, USA; NASA Goddard Space Flight Center, Greenbelt, MD, USA",IEEE Transactions on Geoscience and Remote Sensing,02-Aug-16,2016,54,9.0,5503,5519,"Building on existing techniques for satellite remote sensing of fires, this paper takes advantage of the day-night band (DNB) aboard the Visible Infrared Imaging Radiometer Suite (VIIRS) to develop the Firelight Detection Algorithm (FILDA), which characterizes fire pixels based on both visible-light and infrared (IR) signatures at night. By adjusting fire pixel selection criteria to include visible-light signatures, FILDA allows for significantly improved detection of pixels with smaller and/or cooler subpixel hotspots than the operational Interface Data Processing System (IDPS) algorithm. VIIRS scenes with near-coincident Advanced Spaceborne Thermal Emission and Reflection (ASTER) overpasses are examined after applying the operational VIIRS fire product algorithm and including a modified “candidate fire pixel selection” approach from FILDA that lowers the 4-μm brightness temperature (BT) threshold but includes a minimum DNB radiance. FILDA is shown to be effective in detecting gas flares and characterizing fire lines during large forest fires (such as the Rim Fire in California and High Park fire in Colorado). Compared with the operational VIIRS fire algorithm for the study period, FILDA shows a large increase (up to 90%) in the number of detected fire pixels that can be verified with the finer resolution ASTER data (90 m). Part (30%) of this increase is likely due to a combined use of DNB and lower 4-μm BT thresholds for fire detection in FILDA. Although further studies are needed, quantitative use of the DNB to improve fire detection could lead to reduced response times to wildfires and better estimate of fire characteristics (smoldering and flaming) at night.",1558-0644,,10.1109/TGRS.2016.2566665,National Aeronautics and Space Administration (NASA) Suomi-NPP Program; Applied Science Program; Interdisciplinary Studies (IDS) Program; Radiation Sciences Program; NASA Nebraska Space Grant; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7498622,Day–night band (DNB);fire detection;fires;gas flares;Visible Infrared Imaging Radiometer Suite (VIIRS);visible light at night;wildfires,Satellites;Satellite broadcasting;NASA;Terrestrial atmosphere;Spatial resolution;Monitoring;Radiometry,,59.0,,76.0,IEEE,23-Jun-16,,,IEEE,IEEE Journals,['remote sensing'],['weather data'],['USA']
11,Review of Thermal Stress and Condition Monitoring Technologies for Overhead Transmission Lines: Issues and Challenges,N. Mohd Zainuddin; M. S. Abd. Rahman; M. Z. A. Ab. Kadir; N. H. Nik Ali; Z. Ali; M. Osman; M. Mansor; A. Mohd Ariffin; M. Syahmi Abd. Rahman; S. F. M. Nor; N. A. F. Mohamad Nasir,"Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional (UNITEN), Kajang, Malaysia",IEEE Access,08-Jul-20,2020,8,,120053,120081,"The overhead transmission line system is one of the methods of transmitting electrical energy at a high voltage from one point to another, especially over long distances. The demand for electrical energy is increasing due to the increase in the world population, the evolution of transport technology, and economic expansion, thereby resulting in overloading to the overhead line (OHL) system. In building new infrastructure for transmission lines, several issues need to be addressed. Thus, optimizing existing power by increasing the ampacity of power line is a practical solution to meet energy demand issues. During long-term operation, the temperature of OHL conductors may increase beyond their rated temperature, which is typically 75 °C for conventional conductors such as aluminum-conductor steel-reinforced cable. This condition is defined as thermal stress, which results in lower sag vertical clearance, tensile loss, elongation and creep, and reduced life span of the conductors. This condition must be avoided to ensure that the line is not permanently elongated, which can disrupt the vertical ground clearance, and to expand the conductor’s life. Other factors such as lightning, wildfire, aging, and degradation of the conductor can also cause thermal stress on the conductors and have thermal effects on the conductor’s performance. Therefore, unwanted thermal stress needs to be examined and identified by monitoring the thermal effect and behavior of the lines. This paper presents the state of the art in monitoring technologies that can be used to identify thermal stress on OHL conductors, including the issues and challenges in monitoring. At the end of this paper, a few suggestions are included to address the occurrence and assessment of thermal stress in lines. Ultimately, this work may provide complete information to researchers and maintenance engineers to enable them to make better decisions on condition monitoring, operation, and maintenance of the system.",2169-3536,,10.1109/ACCESS.2020.3004578,Ministry of Higher Education (MOHE) Malaysia through the Fundamental Research Grant Scheme (FRGS) 2018(grant numbers:FRGS/1/2018/TK07/UNITEN/02/2);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9123900,Overhead transmission line;thermal rating;conductor temperature;thermal stress effect;conditioning monitoring,Conductors;Thermal stresses;Power transmission lines;Stress;Thermal conductivity;Monitoring;Capacitance,,57.0,,213.0,CCBY,24-Jun-20,,,IEEE,IEEE Journals,[],['weather data'],[]
13,Balancing Wildfire Risk and Power Outages Through Optimized Power Shut-Offs,N. Rhodes; L. Ntaimo; L. Roald,"University of Wisconsin, Madison, WI, USA; University of Wisconsin, Madison, Wisconsin, United States; University of Wisconsin, Madison, WI, USA",IEEE Transactions on Power Systems,18-Jun-21,2021,36,4.0,3118,3128,"Electric grid faults can ignite catastrophic wildfires, particularly in regions with high winds and low humidity. In real-time operations, electric utilities have few options for wildfire risk mitigation, leading to use of disruptive measures such as proactive de-energization of equipment, frequently referred to as public safety power shut-offs. Such power shut-offs have significant impacts on customers, who experience power cuts in an attempt to protect them from fires. This work proposes the optimal power shut-off problem, an optimization model to support short-term operational decision making in the context of extreme wildfire risk. Specifically, the model optimizes grid operations to maximize the amount of power that can be delivered, while proactively minimizing the risk of wildfire ignitions by selectively de-energizing components in the grid. This is the first optimization model to consider how preventive wildfire risk measures impact both wildfire risk and power systems reliability at a short-term, operational time-frame. The effectiveness of the method is demonstrated on an augmented version of the RTS-GMLC test case, located in Southern California, and compared against two approaches based on simple risk thresholds. The proposed optimization-based model reduces both wildfire risk and lost load shed relative to the benchmarks.",1558-0679,,10.1109/TPWRS.2020.3046796,U.S. Department of Energy(grant numbers:DE-AC02-06CH11357);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9305959,"Optimal power shut-offs, power system operation, PSPS, public safety power shut-offs, risk management, wildfire risk mitigation",Ignition;Power systems;Fires;Risk management;Power system reliability;Optimization;Load modeling,,49.0,,42.0,IEEE,23-Dec-20,,,IEEE,IEEE Journals,['optimization'],['weather data'],['USA']
14,Predicting the Extent of Wildfires Using Remotely Sensed Soil Moisture and Temperature Trends,D. Chaparro; M. Vall-llossera; M. Piles; A. Camps; C. Rüdiger; R. Riera-Tatché,"Remote Sensing Laboratory, Universitat Politècnica de Catalunya, Barcelona, Spain; Remote Sensing Laboratory, Universitat Politècnica de Catalunya, Barcelona, Spain; Barcelona Expert Centre, Barcelona, Spain; Remote Sensing Laboratory, Universitat Politècnica de Catalunya, Barcelona, Spain; Department of Civil Engineering, Monash University, Clayton, Vic, Australia; Technical Office for the Prevention of Forest Fires, Barcelona Provincial Council, Barcelona, Spain",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,19-May-17,2016,9,6.0,2818,2829,"Recent climate trends evidence a rise of temperatures and an increase in the duration and intensity of droughts which is in turn leading to the occurrence of larger wildfires, which threaten the environment as well as human lives and beings. In this context, improved wildfires prediction tools are urgently needed. In this paper, the use of remotely sensed soil moisture data as a key variable in the climate-wildfires relationship is explored. The study is centered in the fires registered in the Iberian Peninsula during the period 2010-2014. Their prior-to-occurrence surface moisture-temperature conditions were analyzed using SMOS-derived soil moisture data and ERA-Interim land surface temperature reanalysis. Results showed that moisture and temperature conditions limited the extent of wildfires, and a potential maximum burned area per moisture-temperature paired values was obtained (R2 = 0.43). The model relating fire extent with moisture-temperature preconditions was improved by including information on land cover, regions, and the month of the fire outbreak (R 2 = 0.68). Model predictions had an accuracy of 83.3% with a maximum error of 40.5 ha. Results were majorly coherent with wildfires behavior in the Iberian Peninsula and reflected the duality between Euro-Siberian and Mediterranean regions in terms of expected burned area. The proposed model has a promising potential for the enhancement of fire prevention services.",2151-1535,,10.1109/JSTARS.2016.2571838,"Spanish government; PROMISES: Productos y servicios innovadores con sensores de microondas, SMOS y Sentinels para tierra(grant numbers:ESP2015-67549-C3-1-R); Ayudas para contratos predoctorales para la Formación de Doctores(grant numbers:BES-2013-066240); European Regional Development Fund; Fundación BBVA;",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7503172,"Wildfires;remote sensing;soil moisture measurements;land surface temperature, and burned area",Soil moisture;Land surface temperature;Land surface;Moisture;Meteorology;Remote sensing;Temperature sensors,,44.0,,47.0,IEEE,19-May-17,,,IEEE,IEEE Journals,[],['weather data'],['Asia']
16,Chipless RFID Multisensor for Temperature Sensing and Crack Monitoring in an IoT Environment,N. Javed; M. A. Azam; Y. Amin,"ACTSENA Research Group, University of Engineering and Technology (UET), Taxila, Pakistan; ACTSENA Research Group, University of Engineering and Technology (UET), Taxila, Pakistan; ACTSENA Research Group, University of Engineering and Technology (UET), Taxila, Pakistan",IEEE Sensors Letters,16-Jun-21,2021,5,6.0,1,4,"Nowadays, structural health monitoring and thermal contemplation of remote places are of serious significance. In this scenario, chipless radio frequency identification (RFID) sensors are the vital enablers to monitor remote circumstances in the low-cost pervasive network. This letter presents a compact 7-bit chipless RFID multiparameter sensor designed on smart Rogers RT/Duroid® 6010.2LM material. The material alters its dielectric properties concerning temperature fluctuations. Six inverted “U” and “L” shaped resonators are designed with specific length and width to resonate within the desired frequency band of 2-8 GHz. A circular microstrip patch antenna is used for the characterization of the crack. The measurements are performed outside the anechoic chamber in an electromagnetically quiet environment. The realized novel smart sensor can be attached to monitor any crack in the metal surface, where temperature monitoring is also crucial. The proposed state-of-the-art robust multisensor is suitable for long-term applications.",2475-1472,,10.1109/LSENS.2021.3083218,"National Institute of Electronics, Islamabad; University of Engineering and Technology, Taxila; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9439865,Chipless;crack sensor;internet of things (IoT);radio frequency identification (RFID);sensor applications;temperature sensor;vertically polarized,Sensors;Temperature sensors;Radiofrequency identification;Temperature measurement;Resonant frequency;Resonators;Mathematical model,,40.0,,21.0,IEEE,24-May-21,,,IEEE,IEEE Journals,['wireless sensor networks'],['weather data'],[]
